Temperatura inicial,Fator de temperatura,Tempo (ms),Solucao,BKS,Approximation Ratio
500,0.85,80345.5,22770,19565,1.16381
500,0.9,56417.4,22952,19565,1.17312
500,0.95,70497.6,23320,19565,1.19192
1000,0.85,60845.5,22936,19565,1.1723
1000,0.9,61116.2,22694,19565,1.15993
1000,0.95,84688.9,24263,19565,1.24012
2000,0.85,65191,23602,19565,1.20634
2000,0.9,59550,23386,19565,1.1953
2000,0.95,61990.3,25162,19565,1.28607
3000,0.85,67652.2,23781,19565,1.21549
3000,0.9,69194,23386,19565,1.1953
3000,0.95,105601,24551,19565,1.25484
4000,0.85,71965.2,25530,19565,1.30488
4000,0.9,89223.8,23961,19565,1.22469
4000,0.95,120984,24781,19565,1.2666
5000,0.85,67165.6,23005,19565,1.17582
5000,0.9,121038,24377,19565,1.24595
5000,0.95,69435.6,26485,19565,1.35369
6000,0.85,104325,24076,19565,1.23056
6000,0.9,61831.5,24016,19565,1.2275
6000,0.95,84620.1,28080,19565,1.43522
7000,0.85,79815.3,24315,19565,1.24278
7000,0.9,90025.7,23356,19565,1.19376
7000,0.95,108634,24904,19565,1.27289
8000,0.85,85079.6,23500,19565,1.20112
8000,0.9,78177.1,25720,19565,1.31459
8000,0.95,80581.3,25177,19565,1.28684
9000,0.85,73539.9,24018,19565,1.2276
9000,0.9,69610.8,25533,19565,1.30503
9000,0.95,62855.6,28271,19565,1.44498
10000,0.85,87221.7,23194,19565,1.18548
10000,0.9,145566,25176,19565,1.28679
10000,0.95,57653.7,28272,19565,1.44503
